Questions,Question,Category,Technology,Topic,Sub Topic,Type of Question,Are Qs Same?
5. If there is a job offer of windows administrator your comfortable to join. Yes/No,,,,,,,
Do you know about active and passive objects?,,,,,,,
What is difference between UNIQUE and PRIMARY KEY constraints,,,,,,,
What is a primary key?,,,,,,,
Can a class inherit the constructors of its super class?,,,,,,,
What is the difference between truncate and delete commands in sql,,,,,,,
What is the difference between malloc() and calloc(),,,,,,,
What is polymorphism,,,,,,,
Write a program to find the reverse of a number,,,,,,,
Write the bubble sort algorithm.,,,,,,,
Find whether a number is prime or not,,,,,,,
Write a program to convert a binary number to octal,,,,,,,
Write a program to find the second largest element? Do not use sorting.,,,,,,,
Write a program to merge two unsorted order in sorted order,,,,,,,
What are the conditions for deadlock,,,,,,,
Write a program to find the sum of the digits of a number ,,,,,,,
Write a program to find the nth Fibonacci number,,,,,,,
TELL ME ABOUT URSELF,,,,,,,
What are the OOPS concept you are aware of?,,,,,,,
What is interface?,,,,,,,
What is Functional Interface?,,,,,,,
What type of methods we have in interface?,,,,,,,
Difference between Comparable and Comparator?,,,,,,,
Collection please Explain,,,,,,,
Difference between Arraylist and linkedlist?,,,,,,,
What is Thread safe?,,,,,,,
Difference between set and List?,,,,,,,
What will happen if I add duplicate value in set,,,,,,,
What is Map?,,,,,,,
Memory implementation of hashmap?,,,,,,,
Some spring Annotation,,,,,,,
@Controller and @restcontroller,,,,,,,
@Configuration and @Component,,,,,,,
IOC,,,,,,,
Hibernate what it is?,,,,,,,
Size of Hahmap? Wrong anwer:10,,,,,,,
Arraylist and linkedlist ?Why insertion n deletion easy in Linked List,,,,,,,
And Retrieving difficult  Vice versa,,,,,,,
Hibernate get() and load(),,,,,,,
Tell me about Yourself?,,,,,,,
Features of java?,,,,,,,
WHAT IS API ,,,,,,,
MICROSERVICES ,,,,,,,
Why it is highly secure?,,,,,,,
*what is polymorphism?With example?,,,,,,,
*what is collections?,,,,,,,
*what is the difference between interface and abstract classes?,,,,,,,
What is unit testing?,,,,,,,
What is junit testing?,,,,,,,
Any java based framework?,,,,,,,
Features of spring boot?,,,,,,,
What project you have done?,,,,,,,
Explain login into the application?,,,,,,,
) Tell me about yourself?,,,,,,,
2) what are some java oops principles?,,,,,,,
3) what is Encapsulation?,,,,,,,
4) What is polymorphism? What are its types?,,,,,,,
5) What is immutable?,,,,,,,
6) what is inheritance?,,,,,,,
7) can we override static methods?,,,,,,,
8) what is hibernate ?,,,,,,,
9) why do we require hibernate when we have spring jdbc?,,,,,,,
10) what is difference between scopes singleton and prototype?,,,,,,,
11) what is collection? What all you know about it ?,,,,,,,
12) what is set?,,,,,,,
13) what is list?,,,,,,,
13) Difference Between arraylist and linkedlist?,,,,,,,
14)what is transaction Manager in hibernate ?,,,,,,,
15) Do you have any  question for me?,,,,,,,
.About oops concepts,,,,,,,
About Collections,,,,,,,
About java 8 features,,,,,,,
Spring Boot Annotations,,,,,,,
Difference between interface and functional Interface,,,,,,,
Map implementation,,,,,,,
Hibernate,,,,,,,
What is your experience ,,,,,,,
what skills you know ,,,,,,,
Explain OOPS Concepts ,,,,,,,
What is inheritance and how to implement ,,,,,,,
Explain flow of program in java ,,,,,,,
Explain all keyword in  :- public static void main(String args[]),,,,,,,
What you understand by  public static void main(String args[]),,,,,,,
What is method overloading in java ,,,,,,,
Java Collection ,,,,,,,
About springboot and what is use of it,,,,,,,
About Project and what have you done in that ,,,,,,,
What framework did u use in your application?,,,,,,,
2. Have you provided authentication in your application?  If so what library did you use?,,,,,,,
3. What is tech used in Backend?,,,,,,,
"4. What about the exceptions while overriding? (if the base class has 'throws' keyword in signature,  should we use same exception in derived class or different exceptions can be used?)",,,,,,,
5. What is overriding?,,,,,,,
6. How did you test your microservices?,,,,,,,
7. How will you perform Junit testing.,,,,,,,
1.No of joins in SQL? ,,,,,,,
How many repositories JPA has?,,,,,,,
Types of Dependency Injection?,,,,,,,
What is shallowing and Deepening ?,,,,,,,
What are changes you noticed in Interfaces after JAVA 1.8?,,,,,,,
Wether mongodb supports joins ? ,,,,,,,
What is spring boot?,,,,,,,
What is @springbootapplication?,,,,,,,
Implemetation of Repository service in spring.,,,,,,,
Code for Fetching a particular variable from mongodb in my project.,,,,,,,
What is collection?,,,,,,,
What is hashmap?,,,,,,,
*how do you delete values in hashmap*,,,,,,,
What’s arraylist?,,,,,,,
How will you sort using collection?,,,,,,,
*how will you count employees in a list using collection?*,,,,,,,
What is polymorphism?,,,,,,,
What is method overriding?,,,,,,,
What is method overloading?,,,,,,,
What is run time polymorphism?,,,,,,,
*what happens at runtime polymorphism method overloading or method overriding?*,,,,,,,
)What is Java?,,,,,,,
2)What are the Features of Java?,,,,,,,
3)What is Encapsulation?,,,,,,,
4)What are Collections? ,,,,,,,
"5)Why should we use other collections, when we have arrays?",,,,,,,
6)Difference between Abstract classes and Interfaces? ,,,,,,,
7)What are Exceptions?,,,,,,,
8)Difference between Exception and Error?,,,,,,,
9)Types of Exceptions with Examples,,,,,,,
10)What is Overriding?,,,,,,,
11)What is Hibernate Framework?,,,,,,,
12)How does the framework recognize the query of  different databases?(did not answer),,,,,,,
13)What is the difference between early loading and lazy loading?,,,,,,,
14)Difference between get and load methods?(did not answer),,,,,,,
15)What is Spring?,,,,,,,
16)Difference between @Component and @Configuration?(Took time to answer),,,,,,,
1)why is Java platform independent?,,,,,,,
2)what does JIT compiler do?,,,,,,,
3)What does JVM do?,,,,,,,
4)What is public static void main?,,,,,,,
5)what is static keyword?What it does?,,,,,,,
6)what if we dont use main method and just initialise static variables?,,,,,,,
7)What is checked and unchecked exception?,,,,,,,
8)Why we use custom exceptions?,,,,,,,
9)How we use custom exceptions?,,,,,,,
10) Difference between spring and spring boot?,,,,,,,
11)What is JPA?,,,,,,,
12)What is @value @autowired @bean?,,,,,,,
13)How do we make application.properties file and what we write in it?,,,,,,,
14)what are the features of java 8?,,,,,,,
15)What is the difference between array and arraylist?,,,,,,,
16)How do we handle exceptions?,,,,,,,
17)Can we use try without catch?,,,,,,,
18)Can we use try with finally?,,,,,,,
19)What are the types of modifiers?,,,,,,,
20) What is the difference between private and protected and default?,,,,,,,
21)What is the default property in spring?,,,,,,,
22) What is hashmap?,,,,,,,
23)What is the difference between hashcode() and equals()?,,,,,,,
24)What if two objects hashcode value is same when we compare them using hashcode() method?,,,,,,,
25)In how many types we apply styles?,,,,,,,
26)What is eval in javascript?,,,,,,,
What is spring boot?,,,,,,,
What is @springbootapplication?,,,,,,,
Implemetation of Repository service in spring.,,,,,,,
Code for Fetching a particular variable from mongodb in my project.,,,,,,,
What is collection?,,,,,,,
What is hashmap?,,,,,,,
*how do you delete values in hashmap*,,,,,,,
What’s arraylist?,,,,,,,
How will you sort using collection?,,,,,,,
*how will you count employees in a list using collection?*,,,,,,,
What is polymorphism?,,,,,,,
What is method overriding?,,,,,,,
What is method overloading?,,,,,,,
What is run time polymorphism?,,,,,,,
*what happens at runtime polymorphism method overloading or method overriding?*,,,,,,,
What is linked list?,,,,,,,
Tell me about yourself?,,,,,,,
2) what are some java oops principles?,,,,,,,
3) what is Encapsulation?,,,,,,,
4) What is polymorphism? What are its types?,,,,,,,
5) What is immutable?,,,,,,,
6) what is inheritance?,,,,,,,
7) can we override static methods?,,,,,,,
8) what is hibernate ?,,,,,,,
9) why do we require hibernate when we have spring jdbc?,,,,,,,
10) what is difference between scopes singleton and prototype?,,,,,,,
11) what is collection? What all you know about it ?,,,,,,,
12) what is set?,,,,,,,
13) what is list?,,,,,,,
13) Difference Between arraylist and linkedlist?,,,,,,,
14)what is transaction Manager in hibernate ?,,,,,,,
15) Do you have any  question for me?,,,,,,,
Introduce yourself?,,,,,,,
Describe Composition And Aggregation?,,,,,,,
What are the changes you have seen in Interfaces after java 1.8?,,,,,,,
What is Functional Interface?,,,,,,,
What is the use of default and static methods in Interfaces in Java 1.8?,,,,,,,
What are your Contributions in the Project that you have developed?,,,,,,,
Write a Program to swap two numbers without using third variable?,,,,,,,
Write Program to reverse a string without using any predefined method?,,,,,,,
What is Shallowing and Deepening in java?,,,,,,,
What are Collections?,,,,,,,
Difference between sets and Lists?,,,,,,,
Difference between arraylist And linkedlist in java collections?,,,,,,,
Difference between linkedhashset and concurrenthashset?,,,,,,,
How can you create a Custom Exception?,,,,,,,
Whether you can implement try without catch? Then How?,,,,,,,
Difference between throws and throw.,,,,,,,
What is the super class of Exceptions?,,,,,,,
What is the difference between Comparable and Comparator?,,,,,,,
What is Spring?,,,,,,,
What is Spring Boot?,,,,,,,
What is the default scope of Bean?,,,,,,,
What are the other scopes of Bean?,,,,,,,
What is Dependency Injection?,,,,,,,
What are the Types Of Dependency Injection?,,,,,,,
What is the use of @restcontroller Annotation?,,,,,,,
How many repositories does JPA holds? What are those?,,,,,,,
Explain JPA repository.,,,,,,,
What are Joins in SQL?,,,,,,,
Elaborate the types of joins.,,,,,,,
Explain Outer Join?,,,,,,,
Write the Query for inserting data in SQL.,,,,,,,
Write the Query for updating data in SQL.,,,,,,,
"Explain the End to End flow of performing the CRUD operation in Spring-Boot? How you will ADD, Update, Delete and Retrieve employee? Explain all the classes and interfaces that you will make to perform this.  ",,,,,,,
.Do you have any experience?,,,,,,,
2.Have you done any course?,,,,,,,
3.So which version of java you used in your project..java7?,,,,,,,
4.Explain your project,,,,,,,
5.What all the oops concepts You know?,,,,,,,
6.Explain about inheritance,,,,,,,
7.Some scenarios regarding parent & child class ,,,,,,,
8.About abstract & static classes?,,,,,,,
*.What is constructors and types?Examples,,,,,,,
9.Tell about collections,,,,,,,
10.Differences between set and list,,,,,,,
11.What is map,,,,,,,
12.Tell about Exceptions & hierarchy ,,,,,,,
13.Multiple catch is possible or not,,,,,,,
14.How do u create a custom exception,,,,,,,
15.write a program to reverse the given sentence.,,,,,,,
EG:input:good afternoon--output:doog noonretfa ,,,,,,,
16.What is SQL,,,,,,,
17.What types of sql statements we have?  ,,,,,,,
18.Do you have any questions for me?,,,,,,,
//questions i didnt answer.,,,,,,,
1.Do you know about java8 features,,,,,,,
2.What is RDBMS,,,,,,,
3.what do u understand by hashcode() and equals(),,,,,,,
4.Do u know about instanceof(),,,,,,,
.which languages are you known? ,,,,,,,
3.explain about your academic project?,,,,,,,
4.what languages did you used in that,,,,,,,
5.what is inheritance?,,,,,,,
6.what is Polymorphism?,,,,,,,
7.how do you define primary key?,,,,,,,
8.what is the difference between list and list interface.,,,,,,,
9.difference between HTML and XML?,,,,,,,
10.difference between Hashtable and Hashmap?,,,,,,,
11.how you insert values in an array?,,,,,,,
) Tell me about yourself?,,,,,,,
2) Description about Projects?,,,,,,,
3) Java OOPS Concept?(3-4 Que),,,,,,,
4) What is Encapsulation?,,,,,,,
5) Detailed questions (4-5)  on access specifiers!,,,,,,,
6) Difference between Core Java and Advance Java?,,,,,,,
7) Structure of HTML,,,,,,,
8) Tags in HTML,,,,,,,
9) Do you know SQL?,,,,,,,
10)What is primary key?,,,,,,,
11) Which database you are familiar with?,,,,,,,
1)Do you know about joins in SQL?,,,,,,,
Difference between Primary key and Unique Key?,,,,,,,
How Javascript and Java used in web applications... Distinguish it!,,,,,,,
3)What are the modules in Spring Framework?,,,,,,,
Introduce youself,,,,,,,
Projects explanation,,,,,,,
Polymorphism,,,,,,,
Method overloading,,,,,,,
Primary key,,,,,,,
Foreien key,,,,,,,
Database,,,,,,,
Why use that type of database?,,,,,,,
How you connect database?,,,,,,,
What is the purpose of mvc?,,,,,,,
How submit button works?,,,,,,,
Javascript modules?,,,,,,,
How  javascript works when user enter their details.?,,,,,,,
Tell me about yourself ?,,,,,,,
2.what is abstract class and its advantages ?,,,,,,,
3.what is jvm and what jvm will do ?,,,,,,,
4.why should we go for secondary index in sql ?,,,,,,,
5.what are  the technologies and  softwares used  in your project ?,,,,,,,
1.TELL ME ABOUT YOURSELF ,,,,,,,
2.WHAT IS INTERFACE,,,,,,,
3.WHAT IS FINALIZE KEYWORD,,,,,,,
4.WHAT ARE THE EXCEPTION IN JAVA,,,,,,,
5.WHAT ARE THE FEATURES OF JAVA8,,,,,,,
6.WHAT IS THE DIFFERENCE BETWEEN LINKEDLIST AND ARRAYLIST,,,,,,,
7.WHAT IS DIFFERENCE BETWEEN SET AND LIST,,,,,,,
8.WHAT IS THE OOPS CONCEPT EXPLAIN WHAT ARE THE THE ELEMENTS IN IT,,,,,,,
9 TELL ABOUT THE PROJECT WHICH YOU DEVELOPED,,,,,,,
10.WHY TO CHANGE THE STREAM AND WHY YOU SELECT JAVA,,,,,,,
1.TELL ME ABOUT YOURSELF ,,,,,,,
2.WHAT IS INTERFACE,,,,,,,
3.WHAT IS FINALIZE KEYWORD,,,,,,,
4.WHAT ARE THE EXCEPTION IN JAVA,,,,,,,
5.WHAT ARE THE FEATURES OF JAVA8,,,,,,,
6.WHAT IS THE DIFFERENCE BETWEEN LINKEDLIST AND ARRAYLIST,,,,,,,
7.WHAT IS DIFFERENCE BETWEEN SET AND LIST,,,,,,,
8.WHAT IS THE OOPS CONCEPT EXPLAIN WHAT ARE THE THE ELEMENTS IN IT,,,,,,,
9 TELL ABOUT THE PROJECT WHICH YOU DEVELOPED,,,,,,,
10.WHY TO CHANGE THE STREAM AND WHY YOU SELECT JAVA,,,,,,,
After that I was asked to introduce myself,,,,,,,
"Most of the questions from mysql like Normalization, Transaction, ACID property, Triggers and have you worked on triggers",,,,,,,
Why spring?,,,,,,,
Explain your project,,,,,,,
Challenge’s you faced during your project,,,,,,,
What were the challenges you faced main goal of project,,,,,,,
.Tell me brief about your project,,,,,,,
2.What is process after program creation...(project flow),,,,,,,
3.What  all are the algorithms you know from data structure,,,,,,,
4.What is merge sort its exmaple its time complexity ,,,,,,,
5.If you have 1000 n elements then using merge sort calculate time required or its time complexity required,,,,,,,
6.What are the joins and its types...,,,,,,,
7.what is difference between left outer join and right outer join,,,,,,,
8.what are angular lifecyle hooks,,,,,,,
8.write query for left outer join .,,,,,,,
Cutomer table and order table is given where cid is primery key and foreign key for order tablr,,,,,,,
Write query to find customer with their respective order.using left outer join,,,,,,,
9.then arrange list using customer name,,,,,,,
10.what is httpclient ,,,,,,,
11..how we can connect  angular with backend,,,,,,,
12.how services  is getting called in front end witg which class,,,,,,,
Tell me about yourself,,,,,,,
Are u ready to relocate ,,,,,,,
1.Introduce yourself,,,,,,,
2.About job location,,,,,,,
3.Questions on datastructures,,,,,,,
4.Algorithm,,,,,,,
5.Are we using algorithm for searching and sorting,,,,,,,
7.sql,,,,,,,
8.inner join,,,,,,,
Tell a query on inner join,,,,,,,
11.java,,,,,,,
12.string buffer and string builder,,,,,,,
13.thread,,,,,,,
How to implement thread,,,,,,,
15.can we start thread by importing thread,,,,,,,
Memory allocation of thread,,,,,,,
Arraylist size,,,,,,,
How much memory can u say any limit on array list?,,,,,,,
19.linked list?,,,,,,,
20.is linked list having next node,,,,,,,
Thread safe?,,,,,,,
22.any questions for me?,,,,,,,
Tell me about yourself,,,,,,,
What are collections and Api  used in Collections,,,,,,,
What are oops,,,,,,,
What is Seralization in Java,,,,,,,
Difference between Array List and Linked List,,,,,,,
What is a component,,,,,,,
What is responsive UI,,,,,,,
What is single Page Application,,,,,,,
Program to sort the repetitive integers ,,,,,,,
What is your favourite Subject,,,,,,,
Tell me about your Family.,,,,,,,
Q:arraylist array two consecutive number high sum,,,,,,,
Q:oops concept used in project(inventory management):deep in the project like where u have use oops conecept in the project.u have 3 functionality.how u ,,,,,,,
prevent other to go there.,,,,,,,
Q:hashmap null key is allowed,,,,,,,
Q:one inheritance example.,,,,,,,
Q:arraylist if 11 element is added what a happens to it,,,,,,,
Q:array vs arraylist,,,,,,,
Q:userdefined exception,,,,,,,
What is serializable interface and use of it in Java?,,,,,,,
What is Synchronized keyword?,,,,,,,
"How we can deserialize, what is use of transient keyword in JAVA.(not-answered)",,,,,,,
What is use of hashcode in Object class?,,,,,,,
What are the concepts in Spring?,,,,,,,
Examples of IOC and benefits.,,,,,,,
They give me a situation of mysql question- Employee table - Find out how many employees and total salary of that employee based on organization?(answered indirectly),,,,,,,
What is your project?,,,,,,,
Have you any offer in hand right now?,,,,,,,
What is your long term and short term goal?,,,,,,,
Family background,,,,,,,
What is serializable interface and use of it in Java?,,,,,,,
What is Synchronized keyword?,,,,,,,
"How we can deserialize, what is use of transient keyword in JAVA.(not-answered)",,,,,,,
What is use of hashcode in Object class?,,,,,,,
What are the concepts in Spring?,,,,,,,
Examples of IOC and benefits.,,,,,,,
They give me a situation of mysql question- Employee table - Find out how many employees and total salary of that employee based on organization?(answered indirectly),,,,,,,
What is your project?,,,,,,,
Have you any offer in hand right now?,,,,,,,
What is your long term and short term goal?,,,,,,,
Family background,,,,,,,
"Serialisation in java , how to exclude a field in serialisation ",,,,,,,
"Collections in java,",,,,,,,
List of all collection class,,,,,,,
Access modifiers,,,,,,,
Stream api,,,,,,,
Filter method syntax.,,,,,,,
From given array find repeat elements,,,,,,,
How to iterate through hashmap,,,,,,,
What alternative to hashmap ,,,,,,,
10 what is hashcode. What hashcode () return.,,,,,,,
11 what is ioc and what's its benefits,,,,,,,
What is dependency injection in angular,,,,,,,
My SQL query question ,,,,,,,
Write a query to find sum of employee salary and count in a organization  from table of employee ,,,,,,,
"Employee no, salary , organization.",,,,,,,
Difference Between stringbuffer and stringbuilder.,,,,,,,
What is exception and error.,,,,,,,
Oops concepts.,,,,,,,
Sum of n numbers formula.,,,,,,,
Why u have not used mongodb in every service?,,,,,,,
Mongodb vs mysql,,,,,,,
Ust in time complier.,,,,,,,
10.Tell me about your college Proect?,,,,,,,
"In a bucket, there are 1 to n numbers.They are unsorted.One number is missing in bucket.",,,,,,,
How will you find which number is missing?.whats is best time complexity?,,,,,,,
Data structures ,,,,,,,
Given a data structure and asked to sort in given time complexity,,,,,,,
Given a data structure and asked to find the missing values,,,,,,,
Database,,,,,,,
What is transaction?,,,,,,,
What is view in database?,,,,,,,
Angular,,,,,,,
What is difference between JIT and AOT compiler?,,,,,,,
What is property binding?,,,,,,,
Spring,,,,,,,
Why is spring?,,,,,,,
Difference between spring and spring boot?,,,,,,,
What logging?,,,,,,,
"Spring Boot: Internal working of spring boot, application.properties file usage, How configuration is made in spring boot?",,,,,,,
Project: What is your project? What all things you implemented in the project? Why you chose micro-service architecture? What all databases are used and why?,,,,,,,
"SQL: find the third largest salary in the given table, Normalization forms, Joins, What are joins, and why are they used?",,,,,,,
HR round:,,,,,,,
What all changes you have seen before and after the program completion? Any personality trait that is changed and you would like to change?,,,,,,,
"Data Structures, ",,,,,,,
"Core Java, ",,,,,,,
"Angular, ",,,,,,,
"Spring Boot, ",,,,,,,
"Mongodb, and ",,,,,,,
"Mysql. Basically,",,,,,,,
Tell us about yourself.,,,,,,,
Q2. What are your strengths?,,,,,,,
Q3. What are your weaknesses?,,,,,,,
Q4. What are your hobbies?,,,,,,,
Q5. What do you know about our company?,,,,,,,
Q6. Why we should hire you?,,,,,,,
Q7. Why do you want to work with this company?,,,,,,,
Q8. Where do you see yourself 5 years from now?,,,,,,,
Teach me Java? ,,,,,,,
Springboot?,,,,,,,
What is Microservice?,,,,,,,
Why you used SQL instead of Java?,,,,,,,
When you can store data in local file why youu used SQL?,,,,,,,
Annotations in Angular?,,,,,,,
Use of Components?,,,,,,,
About Project.,,,,,,,
Role in Project,,,,,,,
Design phase only in starting phase or in each Sprint?,,,,,,,
started with tell me about yourself.,,,,,,,
"What are circuit breakers, why are they used?",,,,,,,
3)Tell me about single threading and multi threading operations,,,,,,,
4)life cycle hooks of angular,,,,,,,
5) questions on SQL,,,,,,,
6) about data structures,,,,,,,
Ii) basic questions on java.,,,,,,,
Iii) Multi threading,,,,,,,
Iv) Data structures,,,,,,,
V) mongodb ,,,,,,,
Vi) Transaction Management,,,,,,,
Vii) REST,,,,,,,
About college,,,,,,,
Difference between spring and springboot,,,,,,,
Explain about Repository,,,,,,,
Mongo Repository,,,,,,,
How to you connect mongodb with Spring,,,,,,,
@Document,,,,,,,
@Id,,,,,,,
How do you update data in mongodb,,,,,,,
9.Explain About Mongo Template,,,,,,,
Runtime polymorphism,,,,,,,
Method Overloading,,,,,,,
Component Scan,,,,,,,
GET and POST,,,,,,,
Explain about service in spring boot,,,,,,,
Q1) Explain polymorphism (OOPS),,,,,,,
Q2) Difference between Array and Array List ,,,,,,,
Q3) Explain Hash map ,,,,,,,
Q4) What are Wrapper classes?,,,,,,,
Q5) What do you know about Association?,,,,,,,
Q6) What is a thread and how do you create it?,,,,,,,
Q7) How do you print repeating characters in a String ?(logic),,,,,,,
What is Java. ,,,,,,,
Oops concepts,,,,,,,
Storing 25 numbers and print them.,,,,,,,
Initialize the properties by constructor and print them,,,,,,,
"Implementation of inheritance,overriding(How to Run parent method)",,,,,,,
Sql queries based on join.,,,,,,,
Spring vs springboot,,,,,,,
OOPS concepts,,,,,,,
Difference between java and java Script,,,,,,,
Difference between javascript and type Script,,,,,,,
Tell me about urself?,,,,,,,
Then started with  docker and rabbitmq technologies,,,,,,,
1.How do set up spring application?,,,,,,,
2.what are rest apis?,,,,,,,
3.Why we use application properties  file?,,,,,,,
4.Different annotations used?,,,,,,,
5.Why we use spring?,,,,,,,
1.Different variables used?,,,,,,,
2.Arrow function,,,,,,,
3.PROMISES?,,,,,,,
"1.Optional parameters,how do we create constuctor??",,,,,,,
2.Asynchronous and synchronous,,,,,,,
Call back function in JS?,,,,,,,
How do you call api in JS?,,,,,,,
What is Deep clone and Shallow clone ?,,,,,,,
Explain about design patterns?,,,,,,,
What is the difference between arrow function and normal function in JS?,,,,,,,
"What authentication you used in Angualar, explain?",,,,,,,
Is javascript synchronous or asynchronous? Explain?,,,,,,,
What is indexing? Explain clustered and non-clustered indexing?,,,,,,,
In HTML how do you pass data to server?,,,,,,,
What is observable?,,,,,,,
Can we use multiple exceptions in Java?,,,,,,,
Hashmap vs hashtable?,,,,,,,
Linkedarraylist vs arraylist?,,,,,,,
Default size of linkedarraylist?,,,,,,,
How do you pass token to server?,,,,,,,
How do you configure mongodb in springboot?,,,,,,,
What is singleton?,,,,,,,
"What is let, var, const?",,,,,,,
How to hide the data in api url?,,,,,,,
Write a program on recurrsion?,,,,,,,
What are static methods?,,,,,,,
Explain Closures in javascript?,,,,,,,
What is the use of promises in javascript?,,,,,,,
"How do you call the Apis through front end? Are you hardcoding , if not how?",,,,,,,
1.What is interface in java ?Why its used.,,,,,,,
2.What is meant by multiple inheritance?,,,,,,,
3.Static binding?,,,,,,,
4.Static variable?,,,,,,,
5.tell about Compile time polymorphism ? Why it called as compile time polymorphism.,,,,,,,
Tell about Run time polymorphism ? Why it called as run time polymorphism,,,,,,,
7.Exception handling,,,,,,,
What is callback() in javascript?,,,,,,,
Sync and Async in javascript.,,,,,,,
Can your browser understand the angular code?,,,,,,,
Http methods ,,,,,,,
How did you connect the angular application to backend?,,,,,,,
forms in html,,,,,,,
Elements used in form tag?,,,,,,,
How did you authenticate your login credentials?(From project),,,,,,,
Did you use JWT Token anywhere after authentication?(From project),,,,,,,
Port number used for frontend application?,,,,,,,
How did you deploy your frontend application to server?,,,,,,,
Mention some annotations?,,,,,,,
What db you have used to connect to database?,,,,,,,
Difference between POST and GET method?,,,,,,,
Can we use GET method instead of POST method?,,,,,,,
Question on what repository you have used?,,,,,,,
Transactions in sql? ,,,,,,,
Suryansh garg ,,,,,,,
What you Know about java?,,,,,,,
What is Interface?,,,,,,,
What is static keyword?,,,,,,,
Difference between static and constant keywords?,,,,,,,
What is static binding?,,,,,,,
What is  throw and throws Keyword?,,,,,,,
"Difference between final,finally and finalize?",,,,,,,
What is Encapsulation?,,,,,,,
About yourself,,,,,,,
About project and questions on project.,,,,,,,
"About UI, html and css",,,,,,,
Sql join,,,,,,,
Java program on copying odd indexed elements from one array to other.,,,,,,,
*Newly introduced elements in HTML5* ,,,,,,,
_About hashmap_,,,,,,,
About REST API,,,,,,,
What is Deep clone and Shallow clone ?,,,,,,,
"What authentication you used in Angualar, explain?",,,,,,,
What is indexing? Explain clustered and non-clustered indexing?,,,,,,,
What is the difference between arrow function and normal function in JS?,,,,,,,
Is javascript synchronous or asynchronous? Explain?,,,,,,,
Can we use multiple exceptions in Java?,,,,,,,
 How do you call api in JS?,,,,,,,
Call back function in JS?,,,,,,,
 In HTML how do you pass data to server?,,,,,,,
 How do you pass token to server?,,,,,,,
What is the use of promises in javascript?,,,,,,,
Write a program on recurrsion?,,,,,,,
 Explain about design patterns?,,,,,,,
" What authentication you used in Angualar, explain?",,,,,,,
"How do you call the Apis through front end? Are you hardcoding , if not how?",,,,,,,
What is observable?,,,,,,,
" What is let, var, const?",,,,,,,
 Explain Closures in javascript?,,,,,,,
What is singleton?,,,,,,,
How to hide the data in api url?,,,,,,,
What is hashmap and Hash Table,,,,,,,
What is an interface ,,,,,,,
Spring vs spring boot,,,,,,,
3.)How did u deploy ur application ,,,,,,,
4.) What type application is urs ?,,,,,,,
1.a string is given.if the letter is vowel count is 1 and if its a constant count is 2 find the sum?,,,,,,,
Ex:bag=>2+1+2=5,,,,,,,
2.An array of string is given then add the first letter of each string and then second second letter so on,,,,,,,
"Arr=[""dog"",""rose""]",,,,,,,
3.A rectangular matrix of english lower case find the no of occutence of string in a row column and daigonal,,,,,,,
4.how many ways to make a string to palindrom,,,,,,,
5.give start end word and list of words find the smallest trasformation ,,,,,,,
Sequence from begin to end word,,,,,,,
What is method overriding with implementation,,,,,,,
2. What is an inheritance ,,,,,,,
3. Write the code of sorting the array,,,,,,,
4. Write the code of factorial,,,,,,,
5. What is routing,,,,,,,
6. What is spring-boot,,,,,,,
7. What is rabbitmq,,,,,,,
8. Tell me about your project ,,,,,,,
9. What did you do in your final project,,,,,,,
10. Introduce yourself,,,,,,,
Software engineer,,,,,,,
"Ques 1:If you have 3 table given then calculate total salary for particular job id(EX- for job_id:101=salary 2*40,000=80,000)",,,,,,,
"one table 1 -emp-emp_id,emp_name,job_id",,,,,,,
"table-2=job- jod-_id,job_name",,,,,,,
"table_3=salary-job_id,salary",,,,,,,
Ques3: Describe oops,,,,,,,
Ques4:Describe Object(practically),,,,,,,
Ques5:What is Garbage Collection,,,,,,,
Ques6:Abstraction and Encapsulation,,,,,,,
Ques7:Write a code for split a string(I am software developer),,,,,,,
Ques8:Reverse a string after split,,,,,,,
Tell me about yourself,,,,,,,
"Work experience, responsibilities",,,,,,,
How did you decide to come in IT industry after graduating from B.Tech ECE,,,,,,,
"Explain Stackroute product and areas you worked on, show working of product",,,,,,,
Testing few apis from the product,,,,,,,
How comfortable are you with Data Structure,,,,,,,
Code - Fibonacci series,,,,,,,
Exception handling,,,,,,,
first I was made to introduce myself.,,,,,,,
#NAME?,,,,,,,
#NAME?,,,,,,,
-my contribution to the project .,,,,,,,
#NAME?,,,,,,,
#NAME?,,,,,,,
#NAME?,,,,,,,
#NAME?,,,,,,,
-code about creating the pattern .,,,,,,,
#NAME?,,,,,,,
-do i know my responsiblities here .,,,,,,,
Tell me about yourself,,,,,,,
Difference between mysql and mongodb,,,,,,,
"What de development process you know? Like TDD ,DDD etc",,,,,,,
Explain agile methodology,,,,,,,
"Explain sorting algorithms like merge sort,quick sort,selection sort.",,,,,,,
Write a program to print nth pattern number from Fibonacci series.,,,,,,,
What is java? ,,,,,,,
"What is inheritance,abstraction , encapsulation.",,,,,,,
Asked puzzle question.,,,,,,,
There is a tunnel.Two person is working in tunnel. Train entered in the tunnel when both the person covered 2/3rd distance of tunnel.Person A walk in parallel of train direction and Person B walk opposite direction of train. Speed of train is 30kmph. What will be the speed of person A and person B when they escape the tunnel.,,,,,,,
What  data structures you know?,,,,,,,
…………………,,,,,,,
Introduced about the company and introduced himself ,,,,,,,
after that asked me to introduce myself,,,,,,,
Asked me about the project,,,,,,,
technologies used in the project and why,,,,,,,
